new_index,original_en_us_index,species
0,22,Accipiter bicolor_Bicolored Hawk
1,35,Accipiter striatus_Sharp-shinned Hawk
2,36,Accipiter superciliosus_Tiny Hawk
3,83,Actitis macularius_Spotted Sandpiper
4,187,Amaurolimnas concolor_Uniform Crake
5,195,Amazilia tzacatl_Rufous-tailed Hummingbird
6,203,Amazona autumnalis_Red-lored Parrot
7,206,Amazona farinosa_Mealy Parrot
8,221,Amblycercus holosericeus_Yellow-billed Cacique
9,258,Anas acuta_Northern Pintail
10,261,Anas crecca_Green-winged Teal
11,293,Anhinga anhinga_Anhinga
12,304,Anous stolidus_Brown Noddy
13,375,Antrostomus carolinensis_Chuck-will's-widow
14,378,Antrostomus rufus_Rufous Nightjar
15,434,Ara ambiguus_Great Green Macaw
16,438,Ara macao_Scarlet Macaw
17,448,Aramides cajaneus_Gray-cowled Wood-Rail
18,452,Aramus guarauna_Limpkin
19,466,Archilochus colubris_Ruby-throated Hummingbird
20,467,Ardea alba_Great Egret
21,470,Ardea herodias_Great Blue Heron
22,477,Ardenna creatopus_Pink-footed Shearwater
23,479,Ardenna pacifica_Wedge-tailed Shearwater
24,485,Arenaria interpres_Ruddy Turnstone
25,500,Arremon aurantiirostris_Orange-billed Sparrow
26,502,Arremon brunneinucha_Chestnut-capped Brushfinch
27,515,Arremonops conirostris_Black-striped Sparrow
28,533,Asio clamator_Striped Owl
29,605,Attila spadiceus_Bright-rumped Attila
30,616,Automolus exsertus_Chiriqui Foliage-gleaner
31,620,Automolus ochrolaemus_Buff-throated Foliage-gleaner
32,623,Automolus subulatus_Striped Woodhaunter
33,629,Aythya collaris_Ring-necked Duck
34,649,Bartramia longicauda_Upland Sandpiper
35,650,Baryphthengus martii_Rufous Motmot
36,654,Basileuterus delattrii_Chestnut-capped Warbler
37,694,Bolborhynchus lineola_Barred Parakeet
38,697,Bombycilla cedrorum_Cedar Waxwing
39,734,Brotogeris jugularis_Orange-chinned Parakeet
40,750,Bubulcus ibis_Cattle Egret
41,775,Busarellus nigricollis_Black-collared Hawk
42,779,Buteo albonotatus_Zone-tailed Hawk
43,782,Buteo brachyurus_Short-tailed Hawk
44,784,Buteo jamaicensis_Red-tailed Hawk
45,788,Buteo nitidus_Gray-lined Hawk
46,790,Buteo plagiatus_Gray Hawk
47,791,Buteo platypterus_Broad-winged Hawk
48,795,Buteo swainsoni_Swainson's Hawk
49,796,Buteogallus anthracinus_Common Black Hawk
50,798,Buteogallus meridionalis_Savanna Hawk
51,801,Buteogallus urubitinga_Great Black Hawk
52,804,Butorides virescens_Green Heron
53,823,Cacicus uropygialis_Scarlet-rumped Cacique
54,832,Cairina moschata_Muscovy Duck
55,852,Calidris alba_Sanderling
56,854,Calidris bairdii_Baird's Sandpiper
57,855,Calidris canutus_Red Knot
58,858,Calidris fuscicollis_White-rumped Sandpiper
59,859,Calidris himantopus_Stilt Sandpiper
60,861,Calidris mauri_Western Sandpiper
61,862,Calidris melanotos_Pectoral Sandpiper
62,864,Calidris minutilla_Least Sandpiper
63,867,Calidris pusilla_Semipalmated Sandpiper
64,874,Calidris virgata_Surfbird
65,909,Campephilus guatemalensis_Pale-billed Woodpecker
66,922,Camptostoma obsoletum_Southern Beardless-Tyrannulet
67,924,Campylopterus hemileucurus_Violet Sabrewing
68,928,Campylorhamphus pusillus_Brown-billed Scythebill
