en_us_index,species,in_masterlist,field_detected,in_geo_allowlist
22,Accipiter bicolor_Bicolored Hawk,1,0,0
35,Accipiter striatus_Sharp-shinned Hawk,0,0,1
36,Accipiter superciliosus_Tiny Hawk,1,0,0
83,Actitis macularius_Spotted Sandpiper,1,0,1
187,Amaurolimnas concolor_Uniform Crake,1,0,0
195,Amazilia tzacatl_Rufous-tailed Hummingbird,1,1,1
203,Amazona autumnalis_Red-lored Parrot,1,1,1
206,Amazona farinosa_Mealy Parrot,1,1,1
221,Amblycercus holosericeus_Yellow-billed Cacique,1,0,0
258,Anas acuta_Northern Pintail,1,0,0
261,Anas crecca_Green-winged Teal,1,0,0
293,Anhinga anhinga_Anhinga,1,0,0
304,Anous stolidus_Brown Noddy,1,0,0
375,Antrostomus carolinensis_Chuck-will's-widow,1,0,0
378,Antrostomus rufus_Rufous Nightjar,1,0,0
434,Ara ambiguus_Great Green Macaw,0,1,1
438,Ara macao_Scarlet Macaw,1,1,1
448,Aramides cajaneus_Gray-cowled Wood-Rail,1,0,0
452,Aramus guarauna_Limpkin,1,0,0
466,Archilochus colubris_Ruby-throated Hummingbird,1,0,0
467,Ardea alba_Great Egret,1,0,0
470,Ardea herodias_Great Blue Heron,1,0,0
477,Ardenna creatopus_Pink-footed Shearwater,1,0,0
479,Ardenna pacifica_Wedge-tailed Shearwater,1,0,0
485,Arenaria interpres_Ruddy Turnstone,1,0,0
500,Arremon aurantiirostris_Orange-billed Sparrow,1,1,1
502,Arremon brunneinucha_Chestnut-capped Brushfinch,0,1,1
515,Arremonops conirostris_Black-striped Sparrow,1,1,1
533,Asio clamator_Striped Owl,1,0,0
605,Attila spadiceus_Bright-rumped Attila,1,1,1
616,Automolus exsertus_Chiriqui Foliage-gleaner,0,1,1
620,Automolus ochrolaemus_Buff-throated Foliage-gleaner,1,0,0
623,Automolus subulatus_Striped Woodhaunter,1,1,1
629,Aythya collaris_Ring-necked Duck,1,0,0
649,Bartramia longicauda_Upland Sandpiper,1,0,0
650,Baryphthengus martii_Rufous Motmot,0,1,1
654,Basileuterus delattrii_Chestnut-capped Warbler,0,1,1
694,Bolborhynchus lineola_Barred Parakeet,1,0,0
