species,NocturnalBias,TimeConcentration,HourlyEntropy,NocturnalBias_z,TimeConcentration_z,HourlyEntropy_z,SentinelProb
Amazilia tzacatl_Rufous-tailed Hummingbird,0.01,0.8149585982630982,1.3690391782339275,-0.3586129478089553,0.10253351479659549,0.07533407639627217,0.48117890455699835
Amazona autumnalis_Red-lored Parrot,0.0019230769230769232,0.9986737372044356,0.16965822711143796,-0.39631057363777344,1.0002405248182005,-1.6163906214896993,0.5971107943191196
Amazona farinosa_Mealy Parrot,0.0003208213025344883,0.900129441278659,0.8880990368149264,-0.40378882151633816,0.5187129503352896,-0.6030311374933082,0.529761203645696
Ara ambiguus_Great Green Macaw,0.0625,0.9914448613738107,0.693147181167214,-0.11357837992163669,0.9649172926386255,-0.8780103830693485,0.5852920183889309
Ara macao_Scarlet Macaw,0.0002955956251847473,0.6174395199796898,2.41802714078232,-0.4039065579534631,-0.8626251662451483,1.5549297314442945,0.36589401581350245
Arremon aurantiirostris_Orange-billed Sparrow,0.004577641084328732,0.7071552243226479,2.0184657332607987,-0.3839208596914592,-0.42423768679297236,0.9913490769461338,0.41320250003282005
Arremon brunneinucha_Chestnut-capped Brushfinch,0.015384615384615385,0.8989984271801588,1.4270610439096205,-0.3334811972564098,0.5131863547019208,0.15717381471221584,0.505337351545642
Arremonops conirostris_Black-striped Sparrow,0.043478260869565216,0.9923990743622957,0.6365141689021994,-0.20235902046052023,0.9695799660239154,-0.9578911461202699,0.583094310356843
Attila spadiceus_Bright-rumped Attila,0.0005246589716684155,0.7785704685883227,1.9645096786806646,-0.4028374448463307,-0.07527371044819961,0.9152441579474876,0.43614695677275633
Automolus exsertus_Chiriqui Foliage-gleaner,0.0005208333333333333,0.6894828758444581,1.584186206197025,-0.40285530034416556,-0.51059198074956,0.3787985765963964,0.42918389658619516
Automolus subulatus_Striped Woodhaunter,0.002583979328165375,0.7974066781898994,1.5791234064869584,-0.3932259272521252,0.016767683086445776,0.37165750661195646,0.4626041663980115
Baryphthengus martii_Rufous Motmot,0.0038314176245210726,0.3179244453727817,1.2250257661675885,-0.38740372717758015,-2.326177836053276,-0.12779658512661027,0.34091352312486495
Basileuterus delattrii_Chestnut-capped Warbler,0.043478260869565216,0.992399074362296,0.6365141689021994,-0.20235902046052023,0.969579966023917,-0.9578911461202699,0.583094310356843
Brotogeris jugularis_Orange-chinned Parakeet,0.03333333333333333,0.7236598554380979,1.039720771420635,-0.24970869541459145,-0.34358933557086,-0.38916895056368334,0.47752785823180716
Buteo plagiatus_Gray Hawk,0.015384615384615385,0.9477415407221629,1.5229550680598087,-0.3334811972564098,0.7513650642469644,0.29243216518269904,0.5151468994310615
